Capital,Cca3,Continent,Country,Territory,Year,2022Population,ConsumptionValue,Rank
Beijing,CHN,Asia,China,China,2018,1425887337,40250,1
Beijing,CHN,Asia,China,China,2019,1425887337,41450,1
Beijing,CHN,Asia,China,China,2020,1425887337,46360,1
Beijing,CHN,Asia,China,China,2021,1425887337,43990,1
Beijing,CHN,Asia,China,China,2022,1425887337,45070,1
Jakarta,IDN,Asia,Indonesia,Indonesia,2018,275501339,12540,4
Jakarta,IDN,Asia,Indonesia,Indonesia,2019,275501339,12520,4
Jakarta,IDN,Asia,Indonesia,Indonesia,2020,275501339,12640,4
Jakarta,IDN,Asia,Indonesia,Indonesia,2021,275501339,13270,4
Jakarta,IDN,Asia,Indonesia,Indonesia,2022,275501339,14260,4
New Delhi,IND,Asia,India,India,2018,1417173173,6060,2
New Delhi,IND,Asia,India,India,2019,1417173173,6730,2
New Delhi,IND,Asia,India,India,2020,1417173173,6730,2
New Delhi,IND,Asia,India,India,2021,1417173173,7560,2
New Delhi,IND,Asia,India,India,2022,1417173173,7580,2
Tokyo,JPN,Asia,Japan,Japan,2018,123951692,5780,11
Tokyo,JPN,Asia,Japan,Japan,2019,123951692,5630,11
Tokyo,JPN,Asia,Japan,Japan,2020,123951692,5970,11
Tokyo,JPN,Asia,Japan,Japan,2021,123951692,5850,11
Tokyo,JPN,Asia,Japan,Japan,2022,123951692,5980,11
Manila,PHL,Asia,Philippines,Philippines,2018,115559009,3980,13
Manila,PHL,Asia,Philippines,Philippines,2019,115559009,3850,13
Manila,PHL,Asia,Philippines,Philippines,2020,115559009,4470,13
Manila,PHL,Asia,Philippines,Philippines,2021,115559009,4440,13
Manila,PHL,Asia,Philippines,Philippines,2022,115559009,4290,13
Seoul,KOR,Asia,South Korea,South Korea,2018,51815810,3820,29
Seoul,KOR,Asia,South Korea,South Korea,2019,51815810,3900,29
Seoul,KOR,Asia,South Korea,South Korea,2020,51815810,4130,29
Seoul,KOR,Asia,South Korea,South Korea,2021,51815810,3790,29
Seoul,KOR,Asia,South Korea,South Korea,2022,51815810,3950,29
Bangkok,THA,Asia,Thailand,Thailand,2018,71697030,3460,20
Bangkok,THA,Asia,Thailand,Thailand,2019,71697030,3570,20
Bangkok,THA,Asia,Thailand,Thailand,2020,71697030,3710,20
Bangkok,THA,Asia,Thailand,Thailand,2021,71697030,3630,20
Bangkok,THA,Asia,Thailand,Thailand,2022,71697030,3870,20
Brasilia,BRA,South America,Brazil,Brazil,2018,215313498,2390,7
Brasilia,BRA,South America,Brazil,Brazil,2019,215313498,2420,7
Brasilia,BRA,South America,Brazil,Brazil,2020,215313498,2720,7
Brasilia,BRA,South America,Brazil,Brazil,2021,215313498,2850,7
Brasilia,BRA,South America,Brazil,Brazil,2022,215313498,2830,7
Abuja,NGA,Africa,Nigeria,Nigeria,2018,218541212,1820,6
Abuja,NGA,Africa,Nigeria,Nigeria,2019,218541212,1920,6
Abuja,NGA,Africa,Nigeria,Nigeria,2020,218541212,2460,6
Abuja,NGA,Africa,Nigeria,Nigeria,2021,218541212,2620,6
Abuja,NGA,Africa,Nigeria,Nigeria,2022,218541212,2790,6
Moscow,RUS,Europe,Russia,Russia,2018,144713314,1850,9
Moscow,RUS,Europe,Russia,Russia,2019,144713314,1910,9
Moscow,RUS,Europe,Russia,Russia,2020,144713314,2000,9
Moscow,RUS,Europe,Russia,Russia,2021,144713314,2100,9
Moscow,RUS,Europe,Russia,Russia,2022,144713314,2200,9
Kathmandu,NPL,Asia,Nepal,Nepal,2018,30547580,1570,49
Kathmandu,NPL,Asia,Nepal,Nepal,2019,30547580,1640,49
Kathmandu,NPL,Asia,Nepal,Nepal,2020,30547580,1540,49
Kathmandu,NPL,Asia,Nepal,Nepal,2021,30547580,1590,49
Kathmandu,NPL,Asia,Nepal,Nepal,2022,30547580,1650,49
Kuala Lumpur,MYS,Asia,Malaysia,Malaysia,2018,33938221,1370,45
Kuala Lumpur,MYS,Asia,Malaysia,Malaysia,2019,33938221,1450,45
Kuala Lumpur,MYS,Asia,Malaysia,Malaysia,2020,33938221,1570,45
Kuala Lumpur,MYS,Asia,Malaysia,Malaysia,2021,33938221,1580,45
Kuala Lumpur,MYS,Asia,Malaysia,Malaysia,2022,33938221,1550,45
Mexico City,MEX,North America,Mexico,Mexico,2018,127504125,1120,10
Mexico City,MEX,North America,Mexico,Mexico,2019,127504125,1170,10
Mexico City,MEX,North America,Mexico,Mexico,2020,127504125,1160,10
Mexico City,MEX,North America,Mexico,Mexico,2021,127504125,1360,10
Mexico City,MEX,North America,Mexico,Mexico,2022,127504125,1510,10
Taipei,TWN,Asia,Taiwan,Taiwan,2018,23893394,830,57
Taipei,TWN,Asia,Taiwan,Taiwan,2019,23893394,830,57
Taipei,TWN,Asia,Taiwan,Taiwan,2020,23893394,870,57
Taipei,TWN,Asia,Taiwan,Taiwan,2021,23893394,900,57
Taipei,TWN,Asia,Taiwan,Taiwan,2022,23893394,880,57
Riyadh,SAU,Asia,Saudi Arabia,Saudi Arabia,2018,36408820,550,41
Riyadh,SAU,Asia,Saudi Arabia,Saudi Arabia,2019,36408820,560,41
Riyadh,SAU,Asia,Saudi Arabia,Saudi Arabia,2020,36408820,830,41
Riyadh,SAU,Asia,Saudi Arabia,Saudi Arabia,2021,36408820,850,41
Riyadh,SAU,Asia,Saudi Arabia,Saudi Arabia,2022,36408820,870,41
Nay Pyi Taw,MMR,Asia,Myanmar,Myanmar,2018,54179306,600,26
Nay Pyi Taw,MMR,Asia,Myanmar,Myanmar,2019,54179306,620,26
Nay Pyi Taw,MMR,Asia,Myanmar,Myanmar,2020,54179306,660,26
Nay Pyi Taw,MMR,Asia,Myanmar,Myanmar,2021,54179306,760,26
Nay Pyi Taw,MMR,Asia,Myanmar,Myanmar,2022,54179306,770,26
Pretoria,ZAF,Africa,South Africa,South Africa,2018,59893885,260,24
Pretoria,ZAF,Africa,South Africa,South Africa,2019,59893885,280,24
Pretoria,ZAF,Africa,South Africa,South Africa,2020,59893885,350,24
Pretoria,ZAF,Africa,South Africa,South Africa,2021,59893885,410,24
Pretoria,ZAF,Africa,South Africa,South Africa,2022,59893885,480,24
Cairo,EGY,Africa,Egypt,Egypt,2018,110990103,220,14
Cairo,EGY,Africa,Egypt,Egypt,2019,110990103,280,14
Cairo,EGY,Africa,Egypt,Egypt,2020,110990103,350,14
Cairo,EGY,Africa,Egypt,Egypt,2021,110990103,400,14
Cairo,EGY,Africa,Egypt,Egypt,2022,110990103,460,14
Canberra,AUS,Oceania,Australia,Australia,2018,26177413,410,55
Canberra,AUS,Oceania,Australia,Australia,2019,26177413,420,55
Canberra,AUS,Oceania,Australia,Australia,2020,26177413,440,55
Canberra,AUS,Oceania,Australia,Australia,2021,26177413,450,55
Canberra,AUS,Oceania,Australia,Australia,2022,26177413,450,55
Dhaka,BGD,Asia,Bangladesh,Bangladesh,2018,171186372,310,8
Dhaka,BGD,Asia,Bangladesh,Bangladesh,2019,171186372,370,8
Dhaka,BGD,Asia,Bangladesh,Bangladesh,2020,171186372,370,8
Dhaka,BGD,Asia,Bangladesh,Bangladesh,2021,171186372,430,8
Dhaka,BGD,Asia,Bangladesh,Bangladesh,2022,171186372,440,8
Ankara,TUR,Asia,Turkey,Turkey,2018,85341241,80,18
Ankara,TUR,Asia,Turkey,Turkey,2019,85341241,120,18
Ankara,TUR,Asia,Turkey,Turkey,2020,85341241,190,18
Ankara,TUR,Asia,Turkey,Turkey,2021,85341241,360,18
Ankara,TUR,Asia,Turkey,Turkey,2022,85341241,420,18
Phnom Penh,KHM,Asia,Cambodia,Cambodia,2018,16767842,330,73
Phnom Penh,KHM,Asia,Cambodia,Cambodia,2019,16767842,350,73
Phnom Penh,KHM,Asia,Cambodia,Cambodia,2020,16767842,370,73
Phnom Penh,KHM,Asia,Cambodia,Cambodia,2021,16767842,410,73
Phnom Penh,KHM,Asia,Cambodia,Cambodia,2022,16767842,400,73
Berlin,DEU,Europe,Germany,Germany,2018,83369843,320,19
Berlin,DEU,Europe,Germany,Germany,2019,83369843,330,19
Berlin,DEU,Europe,Germany,Germany,2020,83369843,370,19
Berlin,DEU,Europe,Germany,Germany,2021,83369843,390,19
Berlin,DEU,Europe,Germany,Germany,2022,83369843,390,19
Warsaw,POL,Europe,Poland,Poland,2018,39857145,310,37
Warsaw,POL,Europe,Poland,Poland,2019,39857145,310,37
Warsaw,POL,Europe,Poland,Poland,2020,39857145,330,37
Warsaw,POL,Europe,Poland,Poland,2021,39857145,340,37
Warsaw,POL,Europe,Poland,Poland,2022,39857145,380,37
